Year,exclude,Film,Lead Studio,Critic Rating,Audience Rating,Story,Genre,Opening Weekend Theaters,Opening Weekend per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend Revenue,Oscar
2011,,Average,,52.84,61.42,,,2810.31,8764.92,61.33,93.53,144.86,52.25,3.42,20.14,
2011,,The Tree Of Life,Independant,84,61,Discovery,Drama,4,93230,13.30,41.00,54.30,32,1.6970,0.37,
2011,,Midnight in Paris,Sony,93,84,Love,Romance,944,61777,56.18,83.00,139.18,17,8.1869,5.83,
2011,,Harry Potter and the Deathly Hallows Part 2,Warner Bros,96,92,Rivalry,Fantasy,4375,38672,381.01,947.10,1328.11,125,10.6249,169.19,
2011,,Twilight: Breaking Dawn,Independant,26,68,Love,Romance,4061,34012,260.80,374.00,634.80,110,5.7709,138.12,
2011,,Transformers: Dark of the Moon,DreamWorks Pictures,35,67,Quest,Action,4088,23937,352.39,770.81,1123.20,195,5.7600,97.85,
2011,,The Hangover Part II,Legendary Pictures,35,58,Comedy,Comedy,3615,23775,254.46,327.00,581.46,80,7.2683,85.95,
2011,,Fast Five,Universal,78,83,Escape,Action,3644,23655,209.83,416.3,626.13,125,5.0090,,
2011,,"Pirates of the Caribbean:
On Stranger Tides",Disney,34,61,Quest,Action,4155,21697,241.07,802.80,1043.87,250,4.1755,90.15,
2011,,Captain America: The First Avenger,Disney,78,75,Metamorphosis,Action,3715,17512,176.65,191.75,368.40,140,2.6315,65.06,
2011,,Thor,Disney,77,80,Monster Force,Action,3955,16618,181.03,267.48,448.51,150,2.9901,65.72,
2011,,Cars 2,Pixar,38,56,Fish Out Of Water,Animation,4115,16072,191.45,360.40,551.85,200,2.7593,66.14,
2011,,Paranormal Activity 3,Independant,68,58,Monster Force,Horror,3321,15829,103.66,98.24,201.90,5,40.3794,52.57,
2011,,X-Men: First Class,Disney,87,88,Monster Force,Action,3641,15134,146.41,207.22,353.62,160,2.2101,55.10,
