Year,Category,Nominee,Additional Info,Won?,,,,,,
2010 (83rd),Actor -- Leading Role,Javier Bardem,Biutiful {'Uxbal'},NO,,,,,,
2010 (83rd),Actor -- Leading Role,Jeff Bridges,True Grit {'Rooster Cogburn'},NO,,,,,,
2010 (83rd),Actor -- Leading Role,Jesse Eisenberg,The Social Network {'Mark Zuckerberg'},NO,,,,,,
2010 (83rd),Actor -- Leading Role,Colin Firth,The King's Speech {'King George VI'},YES,,,,,,
2010 (83rd),Actor -- Leading Role,James Franco,127 Hours {'Aron Ralston'},NO,,,,,,
2010 (83rd),Actor -- Supporting Role,Christian Bale,The Fighter {'Dicky Eklund'},YES,,,,,,
2010 (83rd),Actor -- Supporting Role,John Hawkes,Winter's Bone {'Teardrop'},NO,,,,,,
2010 (83rd),Actor -- Supporting Role,Jeremy Renner,The Town {'James Coughlin'},NO,,,,,,
2010 (83rd),Actor -- Supporting Role,Mark Ruffalo,The Kids Are All Right {'Paul'},NO,,,,,,
2010 (83rd),Actor -- Supporting Role,Geoffrey Rush,The King's Speech {'Lionel Logue'},NO,,,,,,
2010 (83rd),Actress -- Leading Role,Annette Bening,The Kids Are All Right {'Nic'},NO,,,,,,
2010 (83rd),Actress -- Leading Role,Nicole Kidman,Rabbit Hole {'Becca'},NO,,,,,,
2010 (83rd),Actress -- Leading Role,Jennifer Lawrence,Winter's Bone {'Ree'},NO,,,,,,
2010 (83rd),Actress -- Leading Role,Natalie Portman,Black Swan {'Nina Sayers/The Swan Queen'},YES,,,,,,
2010 (83rd),Actress -- Leading Role,Michelle Williams,Blue Valentine {'Cindy'},NO,,,,,,
2010 (83rd),Actress -- Supporting Role,Amy Adams,The Fighter {'Charlene Fleming'},NO,,,,,,
2010 (83rd),Actress -- Supporting Role,Helena Bonham Carter,The King's Speech {'Queen Elizabeth'},NO,,,,,,
2010 (83rd),Actress -- Supporting Role,Melissa Leo,The Fighter {'Alice Ward'},YES,,,,,,
2010 (83rd),Actress -- Supporting Role,Hailee Steinfeld,True Grit {'Mattie Ross'},NO,,,,,,
2010 (83rd),Actress -- Supporting Role,Jacki Weaver,Animal Kingdom {'Janine 'Smurf' Cody'},NO,,,,,,
2010 (83rd),Animated Feature Film,How to Train Your Dragon,Chris Sanders and Dean DeBlois,NO,,,,,,
2010 (83rd),Animated Feature Film,The Illusionist,Sylvain Chomet,NO,,,,,,
2010 (83rd),Animated Feature Film,Toy Story 3,Lee Unkrich,YES,,,,,,
2010 (83rd),Art Direction,Alice in Wonderland,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,YES,,,,,,
2010 (83rd),Art Direction,Harry Potter and the Deathly Hallows Part 1,Production Design: Stuart Craig; Set Decoration: Stephenie McMillan,NO,,,,,,
2010 (83rd),Art Direction,Inception,Production Design: Guy Hendrix Dyas; Set Decoration: Larry Dias and Doug Mowat,NO,,,,,,
2010 (83rd),Art Direction,The King's Speech,Production Design: Eve Stewart; Set Decoration: Judy Farr,NO,,,,,,
2010 (83rd),Art Direction,True Grit,Production Design: Jess Gonchor; Set Decoration: Nancy Haigh,NO,,,,,,
2010 (83rd),Cinematography,Black Swan,Matthew Libatique,NO,,,,,,
2010 (83rd),Cinematography,Inception,Wally Pfister,YES,,,,,,
2010 (83rd),Cinematography,The King's Speech,Danny Cohen,NO,,,,,,
2010 (83rd),Cinematography,The Social Network,Jeff Cronenweth,NO,,,,,,
2010 (83rd),Cinematography,True Grit,Roger Deakins,NO,,,,,,
2010 (83rd),Costume Design,Alice in Wonderland,Colleen Atwood,YES,,,,,,
2010 (83rd),Costume Design,I Am Love,Antonella Cannarozzi,NO,,,,,,
2010 (83rd),Costume Design,The King's Speech,Jenny Beavan,NO,,,,,,
2010 (83rd),Costume Design,The Tempest,Sandy Powell,NO,,,,,,
2010 (83rd),Costume Design,True Grit,Mary Zophres,NO,,,,,,
2010 (83rd),Directing,Black Swan,Darren Aronofsky,NO,,,,,,
2010 (83rd),Directing,The Fighter,David O. Russell,NO,,,,,,
2010 (83rd),Directing,The King's Speech,Tom Hooper,YES,,,,,,
2010 (83rd),Directing,The Social Network,David Fincher,NO,,,,,,
2010 (83rd),Directing,True Grit,Joel Coen and Ethan Coen,NO,,,,,,
2010 (83rd),Documentary (Feature),Exit through the Gift Shop,Banksy and Jaimie D'Cruz,NO,,,,,,
2010 (83rd),Documentary (Feature),Gasland,Josh Fox and Trish Adlesic,NO,,,,,,
2010 (83rd),Documentary (Feature),Inside Job,Charles Ferguson and Audrey Marrs,YES,,,,,,
2010 (83rd),Documentary (Feature),Restrepo,Tim Hetherington and Sebastian Junger,NO,,,,,,
2010 (83rd),Documentary (Feature),Waste Land,Lucy Walker and Angus Aynsley,NO,,,,,,
2010 (83rd),Documentary (Short Subject),Killing in the Name,Jed Rothstein,NO,,,,,,
2010 (83rd),Documentary (Short Subject),Poster Girl,Sara Nesson and Mitchell W. Block,NO,,,,,,
2010 (83rd),Documentary (Short Subject),Strangers No More,Karen Goodman and Kirk Simon,YES,,,,,,
